Location,Temp,Replicate,Habitat,MR_WW,MR_AFDW,MR_MetTiss,VO2,MR_MassIndep,Treatment,Rep_2
Biscayan Cove,4,1,Barren,0.007344955,0.1349114,0.007767859,0.5009259,-0.738156196,Ramp,1
Biscayan Cove,4,2,Barren,0.006273195,0.1064121,0.006666179,0.5087561,-0.925494779,Ramp,2
Biscayan Cove,4,3,Barren,0.005402348,0.1086497,0.00576935,0.3700608,-0.873560101,Ramp,3
Biscayan Cove,4,4,Barren,0.005956168,0.1111714,0.00636648,0.4182489,-0.867734219,Ramp,4
Biscayan Cove,4,5,Kelp,0.007002795,0.07687499,0.007704635,0.6981787,-1.01747833,Ramp,5
Biscayan Cove,4,6,Kelp,0.006841479,0.09718644,0.007359558,0.536372,-0.857029598,Ramp,6
Biscayan Cove,4,7,Kelp,0.009561053,0.1434328,0.0102439,0.8069529,-0.677224879,Ramp,7
Biscayan Cove,4,8,Kelp,0.0101132,0.1695613,0.01116023,0.7944407,-0.558111621,Ramp,8
Biscayan Cove,4,9,Kelp,0.005864751,0.08033078,0.006296587,0.6210449,-1.195978864,Ramp,9
Biscayan Cove,4,10,Barren,0.002606381,0.06921129,0.002759144,0.1672958,-0.695726421,Acute,1
Biscayan Cove,4,11,Barren,0.003076332,0.07153835,0.003966134,0.2752447,-0.621397393,Acute,2
Biscayan Cove,4,12,Barren,0.00223536,0.05880374,0.002395768,0.1567327,-0.783955036,Acute,3
Biscayan Cove,4,13,Barren,0.003169253,0.08019285,0.00348046,0.2286537,-0.675471531,Acute,4
Biscayan Cove,4,14,Kelp,0.005247893,0.09087584,0.005815812,0.5302828,-0.517889,Acute,5
Biscayan Cove,4,15,Kelp,0.006961388,0.07948499,0.00691559,0.3929635,-0.463321944,Acute,6
Biscayan Cove,4,16,Kelp,0.005143588,0.07550972,0.005793129,0.5598502,-0.580590039,Acute,7
Biscayan Cove,4,17,Kelp,0.005710436,0.03480991,0.005855613,0.5360984,-0.555981846,Acute,8
Biscayan Cove,4,18,Kelp,0.006185559,0.09278055,0.00664395,0.3327956,-0.513964057,Acute,9
Biscayan Cove,6,1,Barren,0.01021117,0.1875577,0.0107991,0.6964016,-0.542680496,Ramp,1
Biscayan Cove,6,2,Barren,0.009959127,0.1689365,0.01058302,0.8076852,-0.626565679,Ramp,2
Biscayan Cove,6,3,Barren,0.006380058,0.128313,0.006713891,0.437034,-0.806586901,Ramp,3
Biscayan Cove,6,4,Barren,0.006652999,0.1241777,0.007029621,0.4743588,-0.811624319,Ramp,4
Biscayan Cove,6,5,Kelp,0.007290638,0.08003486,0.008021327,0.7268766,-0.98878043,Ramp,5
Biscayan Cove,6,6,Kelp,0.007837411,0.1113341,0.008430908,0.614453,-0.778948598,Ramp,6
Biscayan Cove,6,7,Kelp,0.01116807,0.1675409,0.01196569,0.9425852,-0.541592579,Ramp,7
Biscayan Cove,6,8,Kelp,0.01094914,0.1835769,0.0116436,0.8288499,-0.523702421,Ramp,8
Biscayan Cove,6,9,Kelp,0.006773539,0.09277865,0.007307005,0.7207045,-1.096319264,Ramp,9
Biscayan Cove,6,10,Barren,0.005252809,0.1017039,0.005344583,0.3582977,-0.524611713,Acute,10
Biscayan Cove,6,11,Barren,0.00545072,0.1147087,0.005885759,0.3294991,-0.52913577,Acute,11
Biscayan Cove,6,12,Barren,0.005088219,0.1239545,0.004929809,0.4157254,-0.565396601,Acute,12
Biscayan Cove,6,13,Barren,0.005200559,0.1296017,0.005728224,0.3789342,-0.484454622,Acute,13
Biscayan Cove,6,14,Barren,0.005774181,0.1443978,0.005777638,0.2732082,-0.573542796,Acute,14
Biscayan Cove,6,15,Kelp,0.006699103,0.0863082,0.007639646,0.5098229,-0.370459665,Acute,15
Biscayan Cove,6,16,Kelp,0.00817197,0.1206472,0.008159143,0.5602644,-0.311312852,Acute,16
Biscayan Cove,6,17,Kelp,0.005990898,0.06835896,0.006205551,0.4620155,-0.509237862,Acute,17
Biscayan Cove,6,18,Kelp,0.007527187,0.1017944,0.008454129,0.5629276,-0.334935523,Acute,18
Biscayan Cove,10,1,Barren,0.0110172,0.2023629,0.01165155,0.7513734,-0.487708696,Ramp,1
Biscayan Cove,10,2,Barren,0.01171874,0.1987847,0.01245286,0.9503895,-0.483861379,Ramp,2
Biscayan Cove,10,3,Barren,0.007982752,0.1605457,0.008400444,0.5468185,-0.696802401,Ramp,3
Biscayan Cove,10,4,Barren,0.008829191,0.1647962,0.009329006,0.6295213,-0.656461819,Ramp,4
Biscayan Cove,10,5,Kelp,0.008430831,0.09255162,0.009565695,0.8668242,-0.84883283,Ramp,5
Biscayan Cove,10,6,Kelp,0.01033412,0.1468011,0.0112098,0.8169812,-0.576420398,Ramp,6
Biscayan Cove,10,7,Kelp,0.01313248,0.1970106,0.0140704,1.108382,-0.375795779,Ramp,7
Biscayan Cove,10,8,Kelp,0.01631278,0.2735055,0.01748029,1.234877,-0.117675321,Ramp,8
Biscayan Cove,10,9,Kelp,0.00931923,0.1276475,0.01005319,0.991566,-0.825457764,Ramp,9
Biscayan Cove,10,10,Barren,0.006653205,0.1340652,0.007000622,0.4156133,-0.500261439,Acute,19
Biscayan Cove,10,11,Barren,0.006706468,0.1338303,0.00706027,0.3507173,-0.476751692,Acute,20
Biscayan Cove,10,12,Barren,0.007705539,0.1871422,0.008036437,0.4812256,-0.501918422,Acute,21
Biscayan Cove,10,13,Barren,0.005986908,0.1698869,0.006205597,0.3700288,,Acute,22
Biscayan Cove,10,14,Barren,0.004945971,0.1350341,0.005134018,0.362216,,Acute,23
Biscayan Cove,10,15,Kelp,0.01121906,0.1526925,0.01210874,0.7488975,-0.1022941,Acute,24
Biscayan Cove,10,16,Kelp,0.01097138,0.1161239,0.01211611,0.6945174,-0.154865445,Acute,25
Biscayan Cove,10,17,Kelp,0.007900357,0.1335651,0.00839704,0.7378277,,Acute,26
Biscayan Cove,10,18,Kelp,0.00801865,0.1396236,0.008507224,0.7620894,,Acute,27
Biscayan Cove,14,1,Barren,0.01675394,0.3077347,0.01771859,1.142619,-0.096463096,Ramp,1
Biscayan Cove,14,2,Barren,0.01672552,0.2837147,0.01777329,1.35644,-0.077810879,Ramp,2
Biscayan Cove,14,3,Barren,0.01231157,0.2476049,0.01295576,0.8433424,-0.400278501,Ramp,3
Biscayan Cove,14,4,Barren,0.01295268,0.2417607,0.01368592,0.923526,-0.362457119,Ramp,4
Biscayan Cove,14,5,Kelp,0.01302717,0.1430091,0.01433279,1.298809,-0.41684803,Ramp,5
Biscayan Cove,14,6,Kelp,0.01248833,0.1774026,0.01343402,0.9790852,-0.414316398,Ramp,6
Biscayan Cove,14,7,Kelp,0.0165701,0.248581,0.01775353,1.398517,-0.085660779,Ramp,7
Biscayan Cove,14,8,Kelp,0.01801863,0.3021064,0.01916149,1.36401,0.011457679,Ramp,8
Biscayan Cove,14,9,Kelp,0.01571329,0.2152284,0.01695083,1.671895,-0.145128764,Ramp,9
Biscayan Cove,14,10,Barren,0.010901,0.1995209,0.01153102,0.7301809,-0.130728879,Acute,28
Biscayan Cove,14,11,Barren,0.0114636,0.2509885,0.01235364,0.634019,-0.213066799,Acute,29
Biscayan Cove,14,12,Barren,0.0125919,0.2315906,0.0136902,0.620425,-0.23214341,Acute,30
Biscayan Cove,14,13,Barren,0.0117172,0.2244897,0.01270571,0.6148627,-0.232274232,Acute,31
Biscayan Cove,14,14,Kelp,0.019623,0.2070279,0.02173883,1.504672,0.597323616,Acute,32
Biscayan Cove,14,15,Kelp,0.0175397,0.2136643,0.01934531,1.068002,0.221226754,Acute,33
Biscayan Cove,14,16,Kelp,0.0151387,0.162943,0.01688915,1.009032,0.140923853,Acute,34
Biscayan Cove,14,17,Kelp,0.0148738,0.2013642,0.01615384,1.221736,0.23756929,Acute,35
Biscayan Cove,14,18,Kelp,0.0159252,0.2168773,0.01724614,1.353005,0.345187865,Acute,36
Biscayan Cove,18,1,Barren,0.02161388,0.3970015,0.02285835,1.474067,0.234984904,Ramp,1
Biscayan Cove,18,2,Barren,0.02024146,0.3433554,0.02150948,1.641582,0.207331121,Ramp,2
Biscayan Cove,18,3,Barren,0.01370273,0.2755834,0.01441972,0.938637,-0.304983901,Ramp,3
Biscayan Cove,18,4,Barren,0.0175748,0.3280323,0.0185697,1.253083,-0.032900119,Ramp,4
Biscayan Cove,18,5,Kelp,0.01653235,0.1814882,0.01818927,1.648275,-0.06738203,Ramp,5
Biscayan Cove,18,6,Kelp,0.01751249,0.2487731,0.01883864,1.372979,-0.020422598,Ramp,6
Biscayan Cove,18,7,Kelp,0.02243054,0.336498,0.02403252,1.893137,0.408959221,Ramp,7
Biscayan Cove,18,8,Kelp,0.02265577,0.3798542,0.02168984,1.718991,0.366438679,Ramp,8
Biscayan Cove,18,9,Kelp,0.01869966,0.2561333,0.02017239,1.989644,0.172620236,Ramp,9
Biscayan Cove,18,10,Barren,0.01293012,0.3104905,0.01353235,0.6858542,-0.166904806,Acute,37
Biscayan Cove,18,11,Barren,0.01133438,0.19901,0.01476324,0.8026983,-0.044065682,Acute,38
Biscayan Cove,18,12,Barren,0.01161097,0.2692027,0.01214011,0.9039421,-0.003406284,Acute,39
Biscayan Cove,18,13,Barren,0.01264398,0.2529184,0.01226661,0.8648869,0.014741941,Acute,40
Biscayan Cove,18,14,Barren,0.01143187,0.3240646,0.01195405,0.6620212,-0.185646234,Acute,41
Biscayan Cove,18,15,Kelp,0.01455194,0.2155559,0.01622225,0.9511488,0.101320629,Acute,42
Biscayan Cove,18,16,Kelp,0.01984029,0.2538751,0.02113566,1.182333,0.335515705,Acute,43
Biscayan Cove,18,17,Kelp,0.01018632,0.1560238,0.0113147,1.043203,-0.039806707,Acute,44
Biscayan Cove,18,18,Kelp,0.01803987,0.2861467,0.01989616,1.197614,0.340766234,Acute,45
Biscayan Cove,22,1,Barren,0.02659816,0.4885522,0.02812961,1.813994,0.574911904,Ramp,1
Biscayan Cove,22,2,Barren,0.02400146,0.4071363,0.02550503,1.946519,0.512268121,Ramp,2
Biscayan Cove,22,3,Barren,0.02008215,0.4038836,0.02113294,1.375628,0.132007099,Ramp,3
Biscayan Cove,22,4,Barren,0.02046238,0.3819287,0.02162074,1.458968,0.172984881,Ramp,4
Biscayan Cove,22,5,Kelp,0.02145634,0.2355425,0.02360675,2.139197,0.42353997,Ramp,5
Biscayan Cove,22,6,Kelp,0.02159317,0.3067412,0.02322834,1.692905,0.299503402,Ramp,6
Biscayan Cove,22,7,Kelp,0.02600793,0.3901651,0.0278654,2.195069,0.710891221,Ramp,7
Biscayan Cove,22,8,Kelp,0.02876068,0.4822111,0.03058486,2.177183,0.824630679,Ramp,8
Biscayan Cove,22,9,Kelp,0.0236485,0.3239187,0.02551099,2.5162,0.699176236,Ramp,9
Biscayan Cove,22,10,Barren,0.0230117,0.3998085,0.02441703,1.288425,0.441339201,Acute,46
Biscayan Cove,22,11,Barren,0.0235779,0.58114,0.02457496,1.542006,0.662238315,Acute,47
Biscayan Cove,22,12,Barren,0.0321098,0.5406715,0.03413717,1.220406,0.332774203,Acute,48
Biscayan Cove,22,13,Barren,0.0227673,0.3762174,0.02423388,0.9432551,0.061317313,Acute,49
Biscayan Cove,22,14,Kelp,0.0275828,0.3440145,0.02998708,1.958878,1.039481512,Acute,50
Biscayan Cove,22,15,Kelp,0.0191481,0.2869789,0.020517,1.934137,0.799744846,Acute,51
Biscayan Cove,22,16,Kelp,0.0310516,0.4142773,0.03356764,1.894504,1.040780828,Acute,52
Biscayan Cove,22,17,Kelp,0.0222652,0.3230194,0.02418309,2.499624,1.365987729,Acute,53
Biscayan Cove,22,18,Kelp,0.027336,0.2924672,0.03015448,2.009659,1.09636837,Acute,54
Biscayan Cove,26,1,Barren,0.03127833,0.5745171,0.03307926,2.133182,0.894099904,Ramp,1
Biscayan Cove,26,2,Barren,0.02630103,0.4461439,0.02794866,2.133014,0.698763121,Ramp,2
Biscayan Cove,26,3,Barren,0.02094962,0.4213296,0.02204579,1.435049,0.191428099,Ramp,3
Biscayan Cove,26,4,Barren,0.02444815,0.4563228,0.02583215,1.743153,0.457169881,Ramp,4
Biscayan Cove,26,5,Kelp,0.02644583,0.2903159,0.02909631,2.636649,0.92099197,Ramp,5
Biscayan Cove,26,6,Kelp,0.02753083,0.3910885,0.02961564,2.158417,0.765015402,Ramp,6
Biscayan Cove,26,7,Kelp,0.02740933,0.4111887,0.02936689,2.313347,0.829169221,Ramp,7
Biscayan Cove,26,8,Kelp,0.03187404,0.5344109,0.0338957,2.412865,1.060312679,Ramp,8
Biscayan Cove,26,9,Kelp,0.02954041,0.4046214,0.03186693,3.143099,1.326075236,Ramp,9
Biscayan Cove,26,10,Barren,0.02932505,0.7198105,0.03057049,1.401675,0.53514442,Acute,55
Biscayan Cove,26,11,Barren,0.02082354,0.4407527,0.02185614,1.252777,0.40579068,Acute,56
Biscayan Cove,26,12,Barren,0.02453406,0.5662666,0.02564516,1.109013,0.236444182,Acute,57
Biscayan Cove,26,13,Barren,0.02496122,0.4755587,0.02634396,1.630003,0.778995914,Acute,58
Biscayan Cove,26,14,Kelp,0.02410942,0.4401175,0.02550666,2.041058,1.080362534,Acute,59
Biscayan Cove,26,15,Kelp,0.03061476,0.4923098,0.03264481,1.897611,1.04965602,Acute,60
Biscayan Cove,26,16,Kelp,0.02603128,0.3695988,0.03073867,1.525025,0.677837039,Acute,61
Biscayan Cove,26,17,Kelp,0.02807535,0.3262907,0.03076945,1.478886,0.624717532,Acute,62
Biscayan Cove,26,18,Kelp,0.02624059,0.3445969,0.02840348,1.569882,0.723106754,Acute,63
Biscayan Cove,30,1,Barren,0.02926969,0.5376227,0.03095497,1.996193,0.757110904,Ramp,1
Biscayan Cove,30,2,Barren,0.02796244,0.4743263,0.02971415,2.267754,0.833503121,Ramp,2
Biscayan Cove,30,3,Barren,0.02509932,0.5047867,0.02641263,1.719303,0.475682099,Ramp,3
Biscayan Cove,30,4,Barren,0.02587856,0.4830214,0.02734353,1.845142,0.559158881,Ramp,4
Biscayan Cove,30,5,Kelp,0.02342634,0.2571687,0.0257742,2.335606,0.61994897,Ramp,5
Biscayan Cove,30,6,Kelp,0.02877307,0.408735,0.03095195,2.255809,0.862407402,Ramp,6
Biscayan Cove,30,7,Kelp,0.02874552,0.4312339,0.03079851,2.426122,0.941944221,Ramp,7
Biscayan Cove,30,8,Kelp,0.02885038,0.4837151,0.03068025,2.183973,0.831420679,Ramp,8
Biscayan Cove,30,9,Kelp,0.02324863,0.3184417,0.02507964,2.473655,0.656631236,Ramp,9
Biscayan Cove,8,,Kelp,,,,,,Ramp,1
Biscayan Cove,12,,Kelp,,,,,,Ramp,2
Biscayan Cove,14,,Kelp,,,,,,Ramp,3
Biscayan Cove,16,,Kelp,,,,,,Ramp,4
Biscayan Cove,18,,Kelp,,,,,,Ramp,5
Biscayan Cove,20,,Kelp,,,,,,Ramp,6
Biscayan Cove,22,,Kelp,,,,,,Ramp,7
Biscayan Cove,24,,Kelp,,,,,,Ramp,8
Biscayan Cove,26,,Kelp,,,,,,Ramp,9
Biscayan Cove,28,,Kelp,,,,,,Ramp,1
Biscayan Cove,30,,Kelp,,,,,,Ramp,2